"account_id";"district_id";"frequency";"date"
576;55;"monthly issuance";930101
3818;74;"monthly issuance";930101
704;55;"monthly issuance";930101
2378;16;"monthly issuance";930101
2632;24;"monthly issuance";930102
1972;77;"monthly issuance";930102
1539;1;"issuance after transaction";930103
793;47;"monthly issuance";930103
2484;74;"monthly issuance";930103
1695;76;"monthly issuance";930103
1726;48;"monthly issuance";930103
2881;70;"monthly issuance";930104
2357;19;"monthly issuance";930104
2177;62;"monthly issuance";930104
485;6;"issuance after transaction";930104
652;21;"monthly issuance";930105
9635;70;"monthly issuance";930105
1844;44;"monthly issuance";930106
1926;37;"monthly issuance";930106
2393;10;"monthly issuance";930107
3510;41;"monthly issuance";930107
1276;36;"monthly issuance";930107
1637;1;"monthly issuance";930108
3871;26;"monthly issuance";930108
192;55;"monthly issuance";930108
764;1;"monthly issuance";930108
2087;7;"weekly issuance";930108
2122;68;"monthly issuance";930108
3592;54;"monthly issuance";930108
3487;41;"monthly issuance";930108
435;38;"monthly issuance";930108
1730;1;"monthly issuance";930109
1493;41;"monthly issuance";930109
374;38;"monthly issuance";930109
2925;1;"monthly issuance";930110
866;9;"monthly issuance";930110
1628;60;"monthly issuance";930110
2379;44;"monthly issuance";930110
1979;26;"monthly issuance";930111
346;37;"monthly issuance";930111
1338;74;"monthly issuance";930111
1909;14;"monthly issuance";930112
2099;3;"weekly issuance";930112
3760;44;"monthly issuance";930113
5270;44;"monthly issuance";930113
1699;53;"monthly issuance";930114
3909;1;"monthly issuance";930114
2926;50;"monthly issuance";930114
1731;33;"monthly issuance";930114
11265;15;"monthly issuance";930114
2519;4;"monthly issuance";930115
10364;55;"monthly issuance";930117
1481;15;"monthly issuance";930117
401;32;"monthly issuance";930118
4034;1;"monthly issuance";930118
2330;54;"monthly issuance";930119
1806;40;"monthly issuance";930119
3834;54;"monthly issuance";930119
1222;66;"monthly issuance";930120
212;27;"weekly issuance";930120
456;49;"monthly issuance";930121
459;47;"monthly issuance";930121
772;45;"monthly issuance";930121
1019;52;"monthly issuance";930121
11295;74;"monthly issuance";930121
2970;60;"monthly issuance";930122
2676;73;"monthly issuance";930122
1536;41;"weekly issuance";930122
1179;74;"monthly issuance";930123
280;25;"monthly issuance";930123
2425;41;"monthly issuance";930123
9307;68;"monthly issuance";930124
4055;23;"monthly issuance";930124
5065;66;"monthly issuance";930124
3704;75;"monthly issuance";930124
477;1;"monthly issuance";930125
5891;54;"monthly issuance";930125
1000;77;"monthly issuance";930125
1750;1;"monthly issuance";930126
2023;68;"monthly issuance";930126
6473;12;"monthly issuance";930126
1649;46;"monthly issuance";930126
2670;13;"monthly issuance";930127
1127;27;"monthly issuance";930127
163;30;"monthly issuance";930127
2566;48;"monthly issuance";930127
9;70;"monthly issuance";930127
1144;59;"monthly issuance";930128
2902;32;"monthly issuance";930128
4296;63;"monthly issuance";930128
