card_id;disp_id;type;issued
1005;9285;classic;931107
104;588;classic;940119
747;4915;classic;940205
70;439;classic;940208
577;3687;classic;940215
377;2429;classic;940303
721;4680;junior;940405
437;2762;classic;940601
188;1146;classic;940619
13;87;classic;940629
732;4763;classic;940721
181;1066;classic;940819
384;2475;junior;940915
309;1946;classic;940919
478;3084;classic;941009
563;3589;classic;941021
369;2363;classic;941108
376;2428;classic;941110
483;3115;classic;941124
174;1039;junior;941204
658;4251;classic;941225
763;5138;junior;941230
778;5275;classic;950102
1039;9837;classic;950107
477;3082;junior;950116
168;1018;classic;950124
314;1999;junior;950127
468;3023;classic;950130
208;1246;gold;950208
766;5200;classic;950211
464;2984;classic;950221
497;3184;classic;950303
166;999;classic;950305
15;114;classic;950305
503;3225;classic;950308
737;4791;classic;950413
759;5117;junior;950418
223;1353;classic;950418
5;51;junior;950424
662;4293;classic;950509
779;5323;junior;950521
545;3458;classic;950530
467;3019;classic;950605
1247;13660;classic;950613
652;4211;classic;950616
559;3573;classic;950617
719;4663;classic;950624
397;2513;classic;950624
107;593;classic;950627
661;4270;classic;950703
484;3116;classic;950704
501;3197;classic;950709
422;2650;junior;950711
705;4555;classic;950712
410;2569;classic;950720
136;778;classic;950728
592;3782;junior;950807
262;1647;junior;950824
18;128;classic;950825
3;41;gold;950903
98;537;classic;950906
167;1011;classic;950915
97;531;junior;950919
699;4532;classic;950926
342;2157;classic;950927
713;4627;classic;950930
118;652;classic;951022
783;5433;junior;951024
504;3230;junior;951106
261;1629;gold;951109
296;1876;gold;951113
113;629;junior;951116
92;508;classic;951120
1225;13268;classic;951122
393;2498;junior;951203
695;4507;classic;951215
666;4328;junior;951225
462;2978;classic;951230
85;489;classic;951231
337;2141;classic;960101
771;5233;classic;960108
379;2431;classic;960112
106;592;classic;960114
606;3883;classic;960122
427;2688;gold;960125
202;1228;classic;960204
14;112;classic;960217
423;2657;classic;960219
989;9119;classic;960221
364;2329;classic;960229
267;1691;junior;960309
621;3970;junior;960319
725;4715;junior;960330
150;859;classic;960330
302;1900;classic;960331
372;2395;classic;960331
499;3187;classic;960403
229;1384;classic;960405
289;1831;junior;960408
37;238;classic;960420
286;1812;gold;960421
157;907;classic;960424
216;1310;junior;960424
977;8968;classic;960508
183;1080;classic;960508
945;8342;junior;960509
44;268;junior;960517
127;714;classic;960523
764;5159;classic;960529
204;1239;junior;960530
1134;11742;classic;960531
312;1971;classic;960608
313;1980;classic;960617
641;4116;classic;960618
731;4751;classic;960623
84;487;classic;960626
265;1680;classic;960628
1176;12502;gold;960703
407;2555;classic;960711
320;2045;classic;960711
1187;12635;gold;960717
121;666;junior;960722
303;1912;classic;960801
651;4201;junior;960802
736;4789;classic;960803
24;153;junior;960805
119;655;classic;960808
670;4343;classic;960808
227;1380;classic;960810
1164;12269;classic;960812
278;1779;classic;960815
103;584;junior;960817
673;4353;junior;960831
38;242;classic;960831
470;3036;classic;960902
514;3267;classic;960910
741;4832;classic;960911
12;83;junior;960911
152;876;classic;960916
163;984;classic;960918
708;4568;junior;960924
601;3830;classic;961008
99;548;gold;961009
547;3477;classic;961011
40;255;classic;961013
220;1333;classic;961013
390;2490;classic;961014
776;5263;classic;961019
197;1202;junior;961021
516;3279;classic;961025
381;2440;classic;961027
272;1754;junior;961028
772;5243;classic;961030
528;3356;classic;961031
87;493;classic;961102
88;496;classic;961104
441;2785;classic;961105
562;3583;classic;961107
690;4479;classic;961107
374;2423;classic;961108
57;347;classic;961109
722;4684;classic;961114
300;1890;classic;961120
117;649;junior;961123
541;3427;junior;961126
294;1861;classic;961204
10;77;classic;961207
710;4588;junior;961210
363;2324;junior;961211
697;4518;classic;961211
433;2724;classic;961212
642;4137;classic;961213
243;1478;classic;961213
162;967;junior;961223
594;3794;junior;961227
609;3893;classic;961229
786;5478;classic;961231
