loan_id;account_id;date;amount;duration;payments;status
5314;1787;930705;96396;12;8033;-1
5316;1801;930711;165960;36;4610;1
6863;9188;930728;127080;60;2118;1
5325;1843;930803;105804;36;2939;1
7240;11013;930906;274740;60;4579;1
6687;8261;930913;87840;24;3660;1
7284;11265;930915;52788;12;4399;1
6111;5428;930924;174744;24;7281;-1
7235;10973;931013;154416;48;3217;1
5997;4894;931104;117024;24;4876;1
7121;10364;931110;21924;36;609;1
6077;5270;931122;79608;24;3317;1
6228;6034;931201;464520;60;7742;-1
6356;6701;931208;95400;36;2650;1
5523;2705;931208;93888;36;2608;1
6456;7123;931209;47016;12;3918;1
7104;10320;931213;259740;60;4329;1
6820;9034;931216;38148;12;3179;1
6876;9236;931221;86616;12;7218;1
7097;10266;931223;75624;24;3151;-1
4959;2;940105;80952;24;3373;1
6499;7401;940105;80952;24;3373;1
5479;2486;940110;24516;12;2043;1
5170;1071;940120;253200;60;4220;1
6721;8475;940121;21072;24;878;1
7259;11111;940131;108144;36;3004;1
5285;1603;940206;78936;12;6578;1
5189;1166;940207;149040;48;3105;1
6650;8073;940217;49320;12;4110;-1
7226;10940;940223;197748;36;5493;1
6087;5313;940227;300660;60;5011;1
7262;11135;940301;182628;36;5073;1
5519;2694;940308;91632;12;7636;1
6577;7753;940311;51696;24;2154;1
6509;7445;940315;55368;24;2307;1
6520;7485;940316;91200;24;3800;1
6699;8330;940330;7656;24;319;1
6336;6555;940331;212400;36;5900;1
7055;10079;940406;167100;60;2785;1
6103;5385;940407;149340;60;2489;1
6202;5891;940418;65184;12;5432;1
7066;10131;940502;215388;36;5983;-1
6696;8321;940509;89040;60;1484;1
6072;5256;940510;193968;36;5388;1
5130;813;940511;24312;12;2026;1
5568;2933;940517;272520;60;4542;1
6678;8173;940520;80340;12;6695;1
6998;9833;940521;97632;12;8136;1
6580;7769;940522;196080;48;4085;1
6316;6473;940526;76908;12;6409;-1
6512;7454;940526;63312;48;1319;1
6407;6930;940526;25944;24;1081;1
5002;173;940531;104808;12;8734;1
6647;8051;940601;208320;48;4340;1
7137;10439;940603;151560;24;6315;1
6903;9337;940604;52128;24;2172;1
5918;4576;940604;300204;36;8339;1
6642;8027;940605;77640;12;6470;1
6210;5927;940606;87216;48;1817;-1
6279;6273;940607;87360;24;3640;1
7249;11065;940612;69360;48;1445;1
6736;8558;940614;288360;60;4806;1
6112;5442;940617;174744;24;7281;-1
5319;1811;940623;239460;60;3991;1
6596;7844;940625;91584;24;3816;1
5837;4260;940629;244560;60;4076;1
5657;3354;940705;4980;12;415;1
5533;2762;940705;111384;24;4641;1
6232;6051;940708;276660;36;7685;-1
6888;9265;940711;39576;12;3298;1
6066;5228;940711;173808;24;7242;1
5549;2824;940716;50460;60;841;1
5060;426;940719;252060;60;4201;-1
6004;4937;940723;143904;24;5996;1
5126;790;940724;208128;48;4336;-1
7220;10911;940728;131292;36;3647;1
6668;8129;940730;74736;36;2076;1
5395;2176;940730;299088;36;8308;-1
6836;9093;940803;189300;60;3155;1
6064;5215;940804;14628;12;1219;1
6919;9403;940805;120888;36;3358;1
6841;9104;940807;172080;48;3585;1
6038;5120;940810;323472;48;6739;1
6729;8519;940811;74688;12;6224;1
7198;10788;940823;45768;12;3814;1
6686;8260;940825;224604;36;6239;1
5836;4259;940827;79632;24;3318;1
7061;10105;940827;121896;24;5079;1
5595;3050;940902;82896;12;6908;1
5723;3674;940910;23628;12;1969;1
6120;5481;940911;209184;48;4358;1
